AptName,AptAddress,BedroomNo,BathroomNo,Rent,Area,lat,lng,distanceToPurdue,crimeRate,grocery_w/n_.5mi,busStops_w/n_.1mi
824 N 10Th St,"824 N 10th St, Lafayette IN 47904",0,1,325,300,40.42501214,-86.88586952,1.461698779,2,0,4
1000 N 6Th St,"1000 N 6th St, Lafayette IN 47904",1,1,425,700,40.426809,-86.890835,1.208633745,5,0,1
Twin View,"317 Vine St, West Lafayette IN 47906",1,1,795,410,40.42643682,-86.90823951,0.307249405,6,4,3
910 Union St.,"910 Union St, Lafayette IN 47904",3,3,900,2000,40.42478686,-86.88669139,1.418358024,2,0,4
3348 Chaucer Drive,"3348 Chaucer Dr, Lafayette IN 47909",2,1,695,900,40.37706396,-86.86938017,4.036935621,0,0,0
1932 Union Street,"1932 Union Street, Lafayette IN 47904",2,2,400,1100,40.42481001,-86.87534257,2.015469922,0,0,0
207 West Fowler Avenue,"207 Fowler Avenue, West Lafayette IN 47906",1,1,760,550,40.42748471,-86.90717302,0.389231047,6,4,3
Ananda Apartments,"1010 North Salisbury Street, West Lafayette IN 47906",2,1.5,460,1230,40.435308,-86.905734,0.839442075,5,1,2
Franklin Park,"2543 Neil Armstrong Dr, West Lafayette IN 47906",3,2,350,1120,40.4549763,-86.9304577,2.26772577,4,2,0
Embassy Square,"905 N 7th St, Lafayette IN 47904",1,1,645,560,40.42585316,-86.88940559,1.277768182,4,0,0
Sycamore Place,"2475 Sycamore Lane, West Lafayette IN 47906",1,1,670,618,40.45269486,-86.92272631,1.988746608,4,3,0
Waterfront Apartments,"320 Brown St, West Lafayette IN 47906",4,2,262,1400,40.42456435,-86.8997056,0.733751152,6,5,0
Village Center,"201 Northwestern Ave, West Lafayette IN 47906",0,1,950,325,40.42584936,-86.9079795,0.307614342,6,4,1
The Harbor At Southaven,"1808 Wallhaven Dr., Lafayette IN 47909",2,2,850,1014,40.37672694,-86.87515559,3.889326171,0,0,0
450 North Salisbury Street,"450 North Salisbury Street, West Lafayette IN 47906",1,1,650,500,40.42917232,-86.90557246,0.522947568,6,4,0
1403 N. 15Th St.,"1403 N. 15th St., Lafayette IN 47904",4,2,900,1600,40.43131439,-86.88108947,1.771864553,0,1,0
427 Chauncey Avenue,"427 North Chauncey Avenue, West Lafayette IN 47906",0,1,700,330,40.42795042,-86.90706879,0.410386206,6,4,1
West Lafayette Schools!,"233 Sharon Road, West Lafayette IN 47906",4,2,1650,1800,40.4545087,-86.90103254,2.160397259,1,1,1
